table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,is_pk
APPT_CSN_COUNTS,This table contains the appointment contact serial numbers (CSNs) linked to an authorization as well as the counts used for each CSN.,AUTH_ID,NUMERIC,False,False,The authorization ID for the authorization record.,Appointment / scheduling status,False,True
APPT_CSN_COUNTS,This table contains the appointment contact serial numbers (CSNs) linked to an authorization as well as the counts used for each CSN.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,Appointment / scheduling status,False,True
APPT_CSN_COUNTS,This table contains the appointment contact serial numbers (CSNs) linked to an authorization as well as the counts used for each CSN.,LINKED_APPT_CSNS,NUMERIC,False,False,The contact serial numbers (CSNs) of all the appointments which fall within the dates on the authorization record.,Appointment / scheduling status,False,False
APPT_CSN_COUNTS,This table contains the appointment contact serial numbers (CSNs) linked to an authorization as well as the counts used for each CSN.,LINKED_APPT_COUNTS,INTEGER,False,False,The used counts corresponding to a particular contact serial number (CSN) in the LINKED_APPT_CSN column linked to an Authorization record.,Appointment / scheduling status,False,False
APPT_CSN_COUNTS,This table contains the appointment contact serial numbers (CSNs) linked to an authorization as well as the counts used for each CSN.,USR_OVR_VST_COUNT_YN,VARCHAR,False,False,Flag to say user has overridden the visit counts.,Appointment / scheduling status,False,False
CANCELED_APPTS_EDI,"This table contains the list of visit IDs of appointments that used to be linked to an order, but were cancelled due to the order being cancelled. This item is used by the incoming orders-to-cadence interface to rebook appointments if the order is un-cancelled.",ORDER_ID,NUMERIC,False,False,The unique identifier for the order record.,Appointment / scheduling status,False,True
CANCELED_APPTS_EDI,"This table contains the list of visit IDs of appointments that used to be linked to an order, but were cancelled due to the order being cancelled. This item is used by the incoming orders-to-cadence interface to rebook appointments if the order is un-cancelled.",LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,Appointment / scheduling status,False,True
CANCELED_APPTS_EDI,"This table contains the list of visit IDs of appointments that used to be linked to an order, but were cancelled due to the order being cancelled. This item is used by the incoming orders-to-cadence interface to rebook appointments if the order is un-cancelled.",CANCEL_APPTS_EDI,INTEGER,False,False,List of appointment serial numbers (ASNs) linked to the order.,Appointment / scheduling status,False,False
CANCELED_APPTS_EDI,"This table contains the list of visit IDs of appointments that used to be linked to an order, but were cancelled due to the order being cancelled. This item is used by the incoming orders-to-cadence interface to rebook appointments if the order is un-cancelled.",CANC_APPT_PREV_STAT,VARCHAR,False,False,This item holds the status of the appointments before cancellation.,Appointment / scheduling status,False,False
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",PROV_ID_PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,Provider record (FTE / schedule — exploratory),False,False
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,Provider record (FTE / schedule — exploratory),False,False
CLARITY_SER,"The CLARITY_SER table contains high-level information about your provider records. These records may be caregivers, resources, classes, devices, and modalities.",EXTERNAL_NAME,VARCHAR,False,False,The external name of the provider record.,Provider record (FTE / schedule — exploratory),False,False
ORD_AUD_APPT_INFO,This table contains audit information about the appointment-level info for imaging studies.,ORDER_ID,NUMERIC,False,False,The unique identifier (.1 item) for the order record.,Appointment / scheduling status,False,True
ORD_AUD_APPT_INFO,This table contains audit information about the appointment-level info for imaging studies.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,Appointment / scheduling status,False,True
ORD_AUD_APPT_INFO,This table contains audit information about the appointment-level info for imaging studies.,APPT_STUDY_STATUES,VARCHAR,False,False,"Audit column for appointment study statues (category values) for an imaging procedure. The values are delimited by ""^"". The source item is located at ORDER_APPT_INFO.APPT_STUDY_STATUS_C.",Appointment / scheduling status,False,False
ORD_AUD_APPT_INFO,This table contains audit information about the appointment-level info for imaging studies.,APPT_STUDY_STAUES_EXT_VALS,VARCHAR,False,False,"Audit column for appointment study statues (external category values) for an imaging procedure. The values are delimited by ""^"". The source item is located at ORDER_APPT_INFO.APPT_STUDY_STATUS_C. This column shows the translated external value as of when the column was last extracted.",Appointment / scheduling status,False,False
PAT_ENC,"The patient encounter table contains one record for each patient encounter in your system. By default, this table does not contain Registration or PCP/Clinic Change contacts (encounter types 1 and 31). It does contain all appointments, office visits, telephone encounters, and other types of encounters. The primary key for the patient encounter table is PAT_ENC_CSN_ID. Note that there is an index named EIX_FILT_PAT_ENC_RFL on the REFERRAL_ID column in Oracle that does not appear in the index list. The index is created by EFN_FAUX_RFL_FILT_INX.",PAT_ID,VARCHAR,False,False,The unique ID assigned to the patient record. This ID may be encrypted if you have elected to use enterprise reporting’s encryption utility.,Encounter / visit record,False,False
PAT_ENC,"The patient encounter table contains one record for each patient encounter in your system. By default, this table does not contain Registration or PCP/Clinic Change contacts (encounter types 1 and 31). It does contain all appointments, office visits, telephone encounters, and other types of encounters. The primary key for the patient encounter table is PAT_ENC_CSN_ID. Note that there is an index named EIX_FILT_PAT_ENC_RFL on the REFERRAL_ID column in Oracle that does not appear in the index list. The index is created by EFN_FAUX_RFL_FILT_INX.",PAT_ENC_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.",Encounter / visit record,False,False
PAT_ENC,"The patient encounter table contains one record for each patient encounter in your system. By default, this table does not contain Registration or PCP/Clinic Change contacts (encounter types 1 and 31). It does contain all appointments, office visits, telephone encounters, and other types of encounters. The primary key for the patient encounter table is PAT_ENC_CSN_ID. Note that there is an index named EIX_FILT_PAT_ENC_RFL on the REFERRAL_ID column in Oracle that does not appear in the index list. The index is created by EFN_FAUX_RFL_FILT_INX.",PAT_ENC_CSN_ID,NUMERIC,False,False,A unique serial number for this encounter. This number is unique across all patients and encounters in the system.,Encounter / visit record,False,True
PAT_ENC,"The patient encounter table contains one record for each patient encounter in your system. By default, this table does not contain Registration or PCP/Clinic Change contacts (encounter types 1 and 31). It does contain all appointments, office visits, telephone encounters, and other types of encounters. The primary key for the patient encounter table is PAT_ENC_CSN_ID. Note that there is an index named EIX_FILT_PAT_ENC_RFL on the REFERRAL_ID column in Oracle that does not appear in the index list. The index is created by EFN_FAUX_RFL_FILT_INX.",CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Encounter / visit record,True,False
PAT_ENC,"The patient encounter table contains one record for each patient encounter in your system. By default, this table does not contain Registration or PCP/Clinic Change contacts (encounter types 1 and 31). It does contain all appointments, office visits, telephone encounters, and other types of encounters. The primary key for the patient encounter table is PAT_ENC_CSN_ID. Note that there is an index named EIX_FILT_PAT_ENC_RFL on the REFERRAL_ID column in Oracle that does not appear in the index list. The index is created by EFN_FAUX_RFL_FILT_INX.",PCP_PROV_ID_PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,Encounter / visit record,False,False
