table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,is_pk
ACCUM_CLAIM_DIAGNOSES,This table contains diagnoses attached to a claim when an accumulation occurred.,ACCUMULATION_ID,NUMERIC,False,False,The unique identifier (.1 item) for the accumulation record.,ICD-10 / Diagnosis coding,False,True
ACCUM_CLAIM_DIAGNOSES,This table contains diagnoses attached to a claim when an accumulation occurred.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,ICD-10 / Diagnosis coding,False,True
ACCUM_CLAIM_DIAGNOSES,This table contains diagnoses attached to a claim when an accumulation occurred.,CLAIM_DX_ID_DX_NAME,VARCHAR,False,False,The name of the diagnosis.,ICD-10 / Diagnosis coding,False,False
ACCUM_SERVICE_DIAGNOSES,This table contains diagnoses associated with a service at the time an accumulation occurred.,ACCUMULATION_ID,NUMERIC,False,False,The unique identifier (.1 item) for the accumulation record.,ICD-10 / Diagnosis coding,False,True
ACCUM_SERVICE_DIAGNOSES,This table contains diagnoses associated with a service at the time an accumulation occurred.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,ICD-10 / Diagnosis coding,False,True
ACCUM_SERVICE_DIAGNOSES,This table contains diagnoses associated with a service at the time an accumulation occurred.,ASSOCIATED_DX_ID_DX_NAME,VARCHAR,False,False,The name of the diagnosis.,ICD-10 / Diagnosis coding,False,False
ADDITIONAL_EM_CODE,This table holds all information related to additional evaluation and management (E/M) codes.,PAT_ENC_CSN_ID,NUMERIC,False,False,A unique serial number for this encounter. This number is unique across all patients and encounters in the system.,E/M level / CPT coding,False,True
ADDITIONAL_EM_CODE,This table holds all information related to additional evaluation and management (E/M) codes.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,E/M level / CPT coding,False,True
ADDITIONAL_EM_CODE,This table holds all information related to additional evaluation and management (E/M) codes.,EM_CODE_ADDL_ID_PROC_NAME,VARCHAR,False,False,The name of each procedure.,E/M level / CPT coding,False,False
ADDITIONAL_EM_CODE,This table holds all information related to additional evaluation and management (E/M) codes.,EM_CODE_MOD_ID,VARCHAR,False,False,Modifiers associated with the additional E/M code. Stored in comma-delimited format with up to four modifiers.,E/M level / CPT coding,False,False
ADDITIONAL_EM_CODE,This table holds all information related to additional evaluation and management (E/M) codes.,EM_CODE_BILPROV_ID_PROV_NAME,VARCHAR,False,False,The name of the service provider. This item may be hidden in a public view of the CLARITY_SER table.,E/M level / CPT coding,False,False
