Metrics of Interest to Suki,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Name (column header in your export),What it measures,CM ID,Canonical Measure,,,,,,,,,,,,,,,,,,,,,,,,
avg_doc_time_min,Avg documentation time per encounter (min),CM-04,Documentation Time,,,,,,,,,,,,,,,,,,,,,,,,
same_day_count,Notes signed same calendar day as encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
next_day_count,Notes signed 1-2 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
two_three_day_count,Notes signed 3-4 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
four_five_day_count,Notes signed 5-6 days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
six_plus_day_count,Notes signed 7+ days after encounter (count),CM-06,Chart Closure Timeliness,,,,,,,,,,,,,,,,,,,,,,,,
total_encounters,Total closed encounters (count),CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
after_hours_min,After-hours EHR time per provider per month (min),CM-05,After-Hours Documentation,,,,,,,,,,,,,,,,,,,,,,,,
encounters_per_day,Avg completed encounters per working day,CM-22,Patient Volume and Throughput,,,,,,,,,,,,,,,,,,,,,,,,
em_new_level1_count,E/M New Patient Level 1 count (CPT 99201),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level2_count,E/M New Patient Level 2 count (CPT 99202),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level3_count,E/M New Patient Level 3 count (CPT 99203),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level4_count,E/M New Patient Level 4 count (CPT 99204),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_new_level5_count,E/M New Patient Level 5 count (CPT 99205),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level1_count,E/M Established Patient Level 1 count (CPT 99211),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level2_count,E/M Established Patient Level 2 count (CPT 99212),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level3_count,E/M Established Patient Level 3 count (CPT 99213),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
em_est_level4_count,E/M Established Patient Level 4 count (CPT 99214),CM-21,Coding Accuracy (E/M),,,,,,,,,,,,,,,,,,,,,,,,
