table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,already_in_cm04_card
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,PAT_ENC_CSN_ID,NUMERIC,False,False,"The unique contact serial number (CSN) for this contact. This number is unique across all patient encounters in your system. If you use IntraConnect, this is the Unique Contact Identifier (UCI).","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,PAT_ENC_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,ABN_DOCUMENT_ID,VARCHAR,False,False,The unique ID of the Advance Beneficiary Notice (ABN) document linked to this patient encounter.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,NOTE_CSN_ID,NUMERIC,False,False,The contact serial number (CSN) of the contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,LINE,INTEGER,False,False,The line number for the information associated with this contact. Multiple pieces of information can be associated with this contact.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,NOTE_ID,VARCHAR,False,False,The unique identifier (.1 item) for the note record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,CONTACT_DATE_REAL,FLOAT,False,False,"A unique contact date in decimal format. The integer portion of the number indicates the date of contact. The digits after the decimal distinguish different contacts on the same date and are unique for each contact on that date. For example, .00 is the first/only contact, .01 is the second contact, etc.","administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",True,False
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,ABN_FOLUP_COMMENTS,VARCHAR,False,False,Stores free text comment about the follow up,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,NOTE_ID,VARCHAR,False,False,The unique ID of the note (HNO) record that contains the Advance Beneficiary Notice (ABN) information.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_PROC_ID_PROC_NAME,VARCHAR,False,False,The name of each procedure.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_REASON_FOR_NONCOVERAGE,VARCHAR,False,False,This item stores an additional user-specified reason for ABN. The possible reasons based on LCD rules are stored in item 2313 of the ABN record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_TRIGGERING_REASON,VARCHAR,False,False,Stores the reason for triggering an ABN,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_PRICE_PER_SERVICE,NUMERIC,False,False,Contains the price per procedure (orderable) or medication for an ABN waiver form. This price will take into account quantity of the procedure ordered.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_MODIFIER_USED,VARCHAR,False,False,This item holds the modifiers used by price generation code to ensure that we are calculating the price correctly when updating the ABN record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_ORIGINAL_PRICE_PER_SERVICE,NUMERIC,False,False,Stores the price generated by the system for a procedure or medication that generated the ABN,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_MEDICATION_ID_MEDICATION_NAME,VARCHAR,False,False,The name of this medication record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_FAILED_LCD_C,VARCHAR,False,False,Indicates which LCD category values the given service failed when run through the blackbox,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_CONTACT_SERVICE,This extract table contains information for items in the General Use Notes (HNO) ABN Procedures (HNO 2310) related group. These items are populated with information from the Advanced Beneficiary Notice (ABN) waiver form related to the services that triggered an ABN. A row in this table represents one failed service for which an ABN was generated.,ABN_SERVICE_DUR,VARCHAR,False,False,Holds a string displayed in the ABN showing the duration for an ordered procedure or medication.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_PROC,Store information about the ABN procedure note for EHI reporting.,NOTE_ID,VARCHAR,False,False,The unique identifier (.1 item) for the note record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_PROC,Store information about the ABN procedure note for EHI reporting.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ABN_NOTE_PROC,Store information about the ABN procedure note for EHI reporting.,ABN_PROC_FREQ_DUR,VARCHAR,False,False,Holds a string displayed in the ABN showing the duration for an ordered procedure or medication.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCESSIBLE_DOCUMENTS_PREF,Stores a patient's preferences for receiving accessible documents.,PAT_ID,VARCHAR,False,False,The unique ID of the patient record for this row. This column is frequently used to link to the PATIENT table.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCESSIBLE_DOCUMENTS_PREF,Stores a patient's preferences for receiving accessible documents.,LINE,INTEGER,False,False,The line number for the information associated with this record. Multiple pieces of information can be associated with this record.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCESSIBLE_DOCUMENTS_PREF,Stores a patient's preferences for receiving accessible documents.,ACCESSIBLE_DOCUMENTS_PREF_C_NAME,VARCHAR,True,False,Indicates the patient's preferred options for receiving accessibility-enabled documents. An example is large print size.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
ACCT_HB_BNOTE,This table contains Hospital Billing billing notes for guarantor accounts.,ACCT_ID,NUMERIC,False,False,The unique ID of the guarantor record for this row. This column is frequently used to link to the ACCOUNT table.,"administrative/non-clinical (comment fields, billing/coverage/referral/etc.)",False,False
