Metrics of Interest to Suki,,,,
Suki (Native Platform — Primary Mappings Only; Developer-Documented API Fields),,,,
Suki Field / API Path,What it measures,CM ID,Canonical Measure,Hook
ambient_session_id (count per provider per month),Unique ambient session count per provider — utilization proxy for burnout study stratification,CM-01,Burnout,H1 - Ambient Documentation
ambient_session.status = completed (rate per provider),Proportion of initiated sessions reaching completed state — ambient usage intensity,CM-01,Burnout,H1 - Ambient Documentation
feedback.quantitative.rating,Provider-rated note quality score (1–5 scale) — wellbeing/satisfaction proxy,CM-01,Burnout,H1 - Ambient Documentation
ambient_session.transcript[].start_time,Ambient session start timestamp — paired with end_time to derive session duration,CM-02,Cognitive Load,H1 - Ambient Documentation
ambient_session.transcript[].end_time,Ambient session end timestamp — paired with start_time for cognitive burden interval,CM-02,Cognitive Load,H1 - Ambient Documentation
transcription_session_id (count per provider per day),Dictation session count per provider — frequency of cognitive offloading via speech input,CM-02,Cognitive Load,H6 - Audio Dictation
ambient_session.transcript[].start_time,Recording start timestamp — documentation session start anchor,CM-04,Documentation Time,H1 - Ambient Documentation
ambient_session.transcript[].end_time,Recording end timestamp — note submission anchor,CM-04,Documentation Time,H1 - Ambient Documentation
ambient_session.transcript[].start_offset.hours / .minutes / .seconds / .nanos,Sub-second audio offset at segment start — precise documentation window,CM-04,Documentation Time,H1 - Ambient Documentation
ambient_session.transcript[].end_offset.hours / .minutes / .seconds / .nanos,Sub-second audio offset at segment end,CM-04,Documentation Time,H1 - Ambient Documentation
POST /api/v1/transcription/session/create (call count per provider),Dictation session initiation count — documentation time attributed to dictation input,CM-04,Documentation Time,H6 - Audio Dictation
ambient_session.status = completed (count),Sessions reaching completed state — note submission count (chart closure numerator),CM-06,Chart Closure Timeliness,H1 - Ambient Documentation
webhook.status = success (count),Webhook-confirmed note delivery events — chart closure event log,CM-06,Chart Closure Timeliness,H1 - Ambient Documentation
structured_data.diagnoses[].codes[].code (non-empty),ICD-10 codes present in session — coding readiness unblocking chart closure,CM-06,Chart Closure Timeliness,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
ambient_session.transcript[].start_time,Session start timestamp anchor for total provider EHR time computation,CM-07,Total EHR Time,H1 - Ambient Documentation
ambient_session.transcript[].end_time,Session end timestamp anchor for total provider EHR time computation,CM-07,Total EHR Time,H1 - Ambient Documentation
GET /ws/transcribe (WebSocket session duration),Dictation session wall-clock duration — EHR time attributed to speech dictation,CM-07,Total EHR Time,H6 - Audio Dictation
ambient_session.content[].loinc_code,LOINC code identifying which note sections were generated,CM-08,Note Completeness,H1 - Ambient Documentation
ambient_session.content[].content (non-empty string),Note section text present — non-empty = section populated,CM-08,Note Completeness,H1 - Ambient Documentation
session_context.sections[].loinc,LOINC codes of sections requested at session start — denominator for completeness ratio,CM-08,Note Completeness,H1 - Ambient Documentation
session_context.provider.specialty,Provider specialty enum — specialty-specific section completeness assessment,CM-08,Note Completeness,H2 - Specialty-Specific Note Generation
session_context.sections[].isPBNSection,Problem-based note section flag (boolean) — problem-level section completeness audit,CM-08,Note Completeness,H3 - Problem-Based Charting (PBC)
ambient_session.transcript[].lang_id,Language code per transcript segment — multilingual session completeness stratification,CM-08,Note Completeness,H4 - Multilingual Support
structured_data.diagnoses[].codes[].code,ICD-10 / IMO codes generated — diagnosis documentation completeness,CM-08,Note Completeness,H9 - Coding Suggestions (ICD-10 / E&M / HCC)
ambient_session.content[].source_transcripts[],Array of transcript_ids grounding each note section — evidence linking audit (hallucination denominator),CM-09,Note Accuracy / Hallucination Rate,H15 - Evidence Linking
ambient_session.transcript[].transcript,Reference transcript text — ground truth for hallucination comparison against generated note,CM-09,Note Accuracy / Hallucination Rate,H1 - Ambient Documentation
ambient_session.transcript[].transcript_id,Transcript segment ULID — cross-reference key linking note section to spoken content,CM-09,Note Accuracy / Hallucination Rate,H15 - Evidence Linking
ambient_session.content[].content,Note section text — input for human or LLM-as-judge quality rating,CM-10,Overall Note Quality (PDQI),H1 - Ambient Documentation
feedback.quantitative.rating,Provider star rating of generated note (minRating / maxRating define scale),CM-10,Overall Note Quality (PDQI),H1 - Ambient Documentation
session_context.provider.specialty,Specialty enum — quality rating stratification by clinical specialty,CM-10,Overall Note Quality (PDQI),H2 - Specialty-Specific Note Generation
session_context.sections[].isPBNSection,PBN section flag — problem-based note quality rating,CM-10,Overall Note Quality (PDQI),H3 - Problem-Based Charting (PBC)
ambient_session.content[].content (character count),Word / character count of note section text — raw verbosity measure,CM-11,Note Length / Verbosity,H1 - Ambient Documentation
personalization.verbosity,Provider verbosity preference (CONCISE / BALANCED / DETAILED) — direct note length control,CM-11,Note Length / Verbosity,H5 - Note Personalization
personalization.section_format[].style,Per-section format preference (NARRATIVE / BULLETED) — structural verbosity control,CM-11,Note Length / Verbosity,H5 - Note Personalization
personalization.section_format[].loinc,LOINC code identifying which sections have format overrides applied,CM-11,Note Length / Verbosity,H5 - Note Personalization
ambient_session.transcript[].transcript,Transcribed text (hypothesis string) — input for ROUGE / BERTScore computation,CM-12,NLP / Transcription Metrics,H6 - Audio Dictation
ambient_session.recording[].presigned_url,Pre-signed S3 URL for raw audio file download (valid within 30-day window),CM-12,NLP / Transcription Metrics,H7 - Audio Streaming & Download
ambient_session.recording[].recording_id,ULID identifying each audio recording segment — corpus management key,CM-12,NLP / Transcription Metrics,H7 - Audio Streaming & Download
ambient_session_id (count per provider per month),Unique ambient session count — raw utilization rate numerator,CM-13,Adoption / Utilization,H1 - Ambient Documentation
ambient_session.status = completed (rate),Proportion of initiated sessions reaching completed state — active adoption rate,CM-13,Adoption / Utilization,H1 - Ambient Documentation
session_context.visit.encounter_type,Encounter type enum (AMBULATORY / INPATIENT / ED) — adoption by care setting,CM-13,Adoption / Utilization,H1 - Ambient Documentation
session_context.provider.specialty,Provider specialty — adoption rate stratified by clinical specialty,CM-13,Adoption / Utilization,H2 - Specialty-Specific Note Generation
